passID,timestamp,stationRef,vehicleRef,charge,tagAbbr,home
OLV7217348,2-1-2019 08:19,MR04,IZ65WAT29135,2,MR,true
NKM7840606,2-1-2019 09:06,OO02,MX39VOS38645,2,AO,false
QZY0176136,2-1-2019 10:20,OO01,QR03XCJ37459,2.5,OO,true
LEV3798414,2-1-2019 11:04,OO04,RK48BOP88344,2.8,OO,true
XCW7548977,2-1-2019 13:49,KO07,QO77TFN61853,2.2,KO,true
SSH1766507,2-1-2019 14:10,NE15,MQ65WJJ60020,1,KO,false
AWB9004088,2-1-2019 15:24,AO04,HT62RDI04611,2.8,AO,true
SNO1901037,2-1-2019 16:40,AO15,BM25PHF40639,13,AO,true
OCG0520265,2-1-2019 16:45,NE02,VX68BAR38623,1.5,NE,true
PZY6450746,2-1-2019 19:54,MR00,IZ65WAT29135,2,MR,true
SVP4480098,2-1-2019 19:54,OO07,RK48BOP88344,2.8,OO,true
CKM4226732,2-1-2019 21:13,GF00,BY85QGR11636,2.5,GF,true
KYZ7726118,2-1-2019 21:13,MR05,XV91YMP27722,2.5,MR,true
BJS5915448,2-1-2019 21:36,AO11,BZ76ROL87339,1,AO,true
ABE2129498,2-1-2019 21:47,AO14,BZ76ROL87339,1,AO,true
QYU5003410,3-1-2019 00:02,EG01,TE24LCO18661,1.25,EG,true
WPS5352347,3-1-2019 01:40,GF00,IO09FGE68100,2.8,GF,true
RDV6518451,3-1-2019 02:39,AO15,XE59BZM26378,2.8,EG,false
WNH6218760,3-1-2019 03:04,KO01,QW79CHL42244,2.8,KO,true
RRS9227725,3-1-2019 03:32,EG05,CM15YCB60994,2,EG,true
LJZ4625728,3-1-2019 03:41,KO09,QW79CHL42244,2.8,KO,true
VED8509398,3-1-2019 04:03,OO11,JF94VYA88954,2.8,OO,true
IAQ7370002,3-1-2019 04:19,NE00,QP02SYE47964,2.8,NE,true
KPT1084302,3-1-2019 06:06,KO01,IX01MVL33676,2.5,KO,true
CSJ9595952,3-1-2019 06:24,KO05,IZ65WAT29135,1.5,MR,false
AJB4007132,3-1-2019 06:51,AO18,MX39VOS38645,2.8,AO,true
IFJ1584058,3-1-2019 06:59,MR07,EZ65FLV39493,2.8,MR,true
IJN5312188,3-1-2019 08:35,KO03,FL13UMN92207,1,KO,true
UZI9045597,3-1-2019 08:43,NE01,PM58XHX45588,1.5,NE,true
DKI5609758,3-1-2019 09:23,GF00,CK97FAU13897,2.5,GF,true
BJL0155721,3-1-2019 09:23,MR04,KF48RSD79865,2.8,MR,true
YON4581505,3-1-2019 12:20,GF00,YX66XYW62640,3.1,GF,true
JZP9177875,3-1-2019 14:02,AO04,YL27IFD65117,2,AO,true
SSZ7103725,3-1-2019 14:43,MR00,HE38BQH01623,2.8,MR,true
FPU0425557,3-1-2019 15:44,KO05,WY00MLL63827,1,KO,true
MOS5853245,3-1-2019 16:51,KO05,IX01MVL33676,2.5,KO,true
EWR2508893,3-1-2019 16:58,AO12,DP11ENT03275,3.1,AO,true
FDO3407403,3-1-2019 17:39,KO08,QW79CHL42244,2.8,KO,true
DLQ8625471,3-1-2019 19:31,GF00,MP14WFM40909,2.8,GF,true
ZAG0725273,3-1-2019 19:34,EG07,EC02LZC49528,2.8,EG,true
RJN3440849,3-1-2019 20:37,NE12,EG95RTB75032,2.8,NE,true
BXR7588699,3-1-2019 21:13,OO05,EM54HQI58682,2.8,OO,true
JZF0586381,3-1-2019 22:03,EG01,TE24LCO18661,1.25,EG,true
AKJ5235405,3-1-2019 22:15,NE06,XV91YMP27722,1.5,MR,false
YSK8555815,3-1-2019 22:56,EG09,TV81MAQ99005,2.8,EG,true
VAS7777913,3-1-2019 23:10,KO05,QO77TFN61853,2.2,KO,true
OSB6924402,3-1-2019 23:11,OO01,WY00MLL63827,2.8,KO,false
IKP1014708,3-1-2019 23:28,AO02,PE73VJU23485,2.8,AO,true
NDS8480885,4-1-2019 00:41,NE07,PD45WOT56494,1.5,NE,true
IEP5322365,4-1-2019 00:46,AO05,YL27IFD65117,2,AO,true
LZU2500999,4-1-2019 01:37,NE09,FY47TUN40300,1,NE,true
FTO5959048,4-1-2019 02:32,NE07,NY14GZR94632,2.8,NE,true
PEO8978228,4-1-2019 02:38,GF00,PF04UCA93312,3.1,GF,true
IWZ6784211,4-1-2019 02:51,AO05,DV04FQL29609,3.1,AO,true
DOT0840926,4-1-2019 03:48,OO04,RK48BOP88344,2.8,OO,true
YIC2205567,4-1-2019 04:43,OO05,AT19HLV57173,2.8,OO,true
JYG0256462,4-1-2019 06:18,AO17,OC94ASJ72024,1,AO,true
FZS8692226,4-1-2019 08:01,KO05,ED51EWW52190,1,KO,true
ZIK8298699,4-1-2019 08:11,OO06,UA13YTK28483,2.5,MR,false
GBM5773955,4-1-2019 08:41,OO01,AT19HLV57173,2.8,OO,true
PLP9237083,4-1-2019 08:43,OO05,RK48BOP88344,2.8,OO,true
PSV9420885,4-1-2019 08:56,NE15,BI87HYL81972,2.2,MR,false
OQE5431179,4-1-2019 09:27,KO06,KB55KTM48860,2.5,KO,true
FRP9290882,4-1-2019 09:32,AO15,BZ76ROL87339,1,AO,true
VIG3313800,4-1-2019 15:15,KO06,IX01MVL33676,2.5,KO,true
BMV9911239,4-1-2019 15:27,GF00,BY85QGR11636,2.5,GF,true
BWS1548433,4-1-2019 16:03,EG07,TV81MAQ99005,2.8,EG,true
DPC4921911,4-1-2019 16:38,MR06,UA13YTK28483,2.8,MR,true
FAD4262737,4-1-2019 16:52,AO08,DV04FQL29609,3.1,AO,true
BOS5722123,4-1-2019 17:39,MR05,QO68DIC93032,2.5,MR,true
BIP4596977,4-1-2019 17:45,MR00,HE38BQH01623,2.8,MR,true
IZU3260044,4-1-2019 18:05,MR03,HR53SRO94328,13,MR,true
IOI0658573,4-1-2019 19:07,OO02,PD45WOT56494,2,NE,false
ELI0385232,4-1-2019 21:05,MR08,HE38BQH01623,2.8,MR,true
SCB3162252,4-1-2019 21:05,OO05,VJ92OYV94295,2.5,OO,true
XRB7777819,4-1-2019 21:25,KO08,AY38OQF67603,1.5,OO,false
VNX6112928,4-1-2019 21:30,OO02,XV40HUQ04740,1,OO,true
JBK7975831,4-1-2019 22:14,OO01,XV40HUQ04740,1,OO,true
UZV6669660,4-1-2019 22:41,NE14,FY47TUN40300,1,NE,true
AST1565987,4-1-2019 23:41,NE00,QU94IGC75528,2.8,EG,false
EPU9167801,5-1-2019 02:09,MR05,QN23UHH39091,2.8,MR,true
UME6300154,5-1-2019 03:12,NE14,OY94SZK34436,2.5,NE,true
IZL8111210,5-1-2019 03:29,KO05,MQ65WJJ60020,1.25,KO,true
TYT3955033,5-1-2019 03:58,AO08,VL67TFO75321,2.8,EG,false
WHI1664349,5-1-2019 05:13,NE13,QP02SYE47964,2.8,NE,true
XSE8654212,5-1-2019 06:11,NE15,JV67MTI17124,2.5,NE,true
TXL5895242,5-1-2019 06:41,KO05,QO77TFN61853,2.2,KO,true
LJC9157282,5-1-2019 08:15,KO03,JO50FSF60755,2.2,KO,true
HJW5583166,5-1-2019 09:36,MR05,BI87HYL81972,1,MR,true
OIV5602818,5-1-2019 10:01,MR02,UA13YTK28483,2.8,MR,true
DKX6181104,5-1-2019 11:20,NE00,EM54HQI58682,3.1,OO,false
TGM8606494,5-1-2019 11:22,EG07,IW53OQE31439,2.8,EG,true
UIC7940896,5-1-2019 11:28,EG12,TE24LCO18661,1.25,EG,true
PZP9995637,5-1-2019 18:12,MR08,KF48RSD79865,2.8,MR,true
HOA0727154,5-1-2019 19:13,MR03,KF48RSD79865,2.8,MR,true
KTK8951799,5-1-2019 20:21,GF00,PF04UCA93312,3.1,GF,true
UWV9537409,5-1-2019 21:22,AO01,DP11ENT03275,3.1,AO,true
GYR0258541,5-1-2019 22:43,AO13,RR73DWB65452,2.8,AO,true
SDQ5556853,5-1-2019 23:45,NE03,QP02SYE47964,2.8,NE,true
UDF1325536,5-1-2019 23:57,OO01,AY38OQF67603,2.8,OO,true
NQV7199789,6-1-2019 00:22,EG10,CM15YCB60994,2,EG,true
INA0533953,6-1-2019 00:50,NE05,VX68BAR38623,1.5,NE,true
AZT9656066,6-1-2019 01:25,OO05,JF94VYA88954,2.8,OO,true
IUO2143413,6-1-2019 02:49,MR07,RR98KQE80731,1.25,MR,true
UXT7394943,6-1-2019 02:58,EG06,EC02LZC49528,2.8,EG,true
LJW9984906,6-1-2019 03:17,GF00,MP14WFM40909,2.8,GF,true
TPR4294291,6-1-2019 03:35,NE15,EG95RTB75032,2.8,NE,true
ULN8974546,6-1-2019 03:48,AO12,HT62RDI04611,2.8,AO,true
QZK4342840,6-1-2019 03:55,MR02,QH15HWX24570,3.1,MR,true
XWI7097584,6-1-2019 05:33,GF00,YX66XYW62640,3.1,GF,true
MXM6404031,6-1-2019 07:06,AO14,YL27IFD65117,2,AO,true
YJU8743734,6-1-2019 07:31,EG12,EC02LZC49528,2.8,EG,true
SUH5952969,6-1-2019 09:34,NE07,QR03XCJ37459,1.5,OO,false
WOJ6728265,6-1-2019 11:37,MR05,RR98KQE80731,1.25,MR,true
PAV5608102,6-1-2019 11:37,NE08,EG95RTB75032,2.8,NE,true
CFO6913267,6-1-2019 11:39,OO08,LC72NRN52084,1.25,OO,true
PAL2525981,6-1-2019 12:12,OO03,IC95TLY24827,2,OO,true
RCF4544449,6-1-2019 12:43,KO00,WY00MLL63827,1,KO,true
PVJ3943516,6-1-2019 12:54,AO15,XE59BZM26378,2.8,EG,false
IRX8848859,6-1-2019 12:57,AO08,RR73DWB65452,2.8,AO,true
MCD5475060,6-1-2019 13:13,KO08,MQ65WJJ60020,1.25,KO,true
PFW8615887,6-1-2019 14:19,OO09,RK48BOP88344,2.8,OO,true
ASW3119652,6-1-2019 15:33,MR06,UA13YTK28483,2.8,MR,true
VQA8895237,6-1-2019 15:57,NE16,IA29IQS63679,1,NE,true
NHL4953806,6-1-2019 16:44,OO13,LG64ARC91224,1.5,AO,false
MAK0971449,6-1-2019 16:47,KO07,FY47TUN40300,2.8,NE,false
JFR2402578,6-1-2019 17:25,GF00,SL09NOT64494,2.5,GF,true
YYP0773445,6-1-2019 18:29,EG00,TZ48CCW54765,3.1,EG,true
LIV9253695,6-1-2019 19:23,OO03,XV40HUQ04740,1,OO,true
CCS6814108,6-1-2019 21:36,NE06,NY14GZR94632,2.8,NE,true
KOC7962766,6-1-2019 23:08,GF00,MA30QLI76818,2.5,GF,true
DOZ1453528,6-1-2019 23:08,GF00,BY85QGR11636,2.5,GF,true
PFR7735501,6-1-2019 23:50,NE08,OY94SZK34436,1,NE,true
RVF1714057,6-1-2019 23:54,GF00,BY85QGR11636,2.5,GF,true
QJM2827051,7-1-2019 00:07,KO06,JO50FSF60755,2.2,KO,true
HNU5135879,7-1-2019 00:26,MR07,UA13YTK28483,2.8,MR,true
NUF0316968,7-1-2019 00:57,GF00,BY85QGR11636,2.5,GF,true
MFM7697504,7-1-2019 01:12,OO09,YX66XYW62640,1,GF,false
RRF5482950,7-1-2019 01:34,KO09,IX01MVL33676,2.5,KO,true
RCS4635589,7-1-2019 01:35,MR07,HE38BQH01623,2.8,MR,true
LZJ2868612,7-1-2019 02:19,NE12,QP02SYE47964,2.8,NE,true
HPB9107400,7-1-2019 02:53,GF00,PF04UCA93312,3.1,GF,true
KMK0226092,7-1-2019 03:36,OO07,JO50FSF60755,2,KO,false
NRK5104296,7-1-2019 05:02,MR02,UF84JOS00561,3.1,GF,false
RBK8060006,7-1-2019 05:27,AO05,YL27IFD65117,2,AO,true
AUU6469015,7-1-2019 06:24,AO13,EM54HQI58682,2.8,OO,false
IQN6203368,7-1-2019 08:48,EG06,SL09NOT64494,2.2,GF,false
VXK5719170,7-1-2019 08:59,EG05,EC02LZC49528,2.8,EG,true
QRR8447934,7-1-2019 09:03,MR00,QO68DIC93032,2.5,MR,true
NXJ2283523,7-1-2019 10:21,NE02,FY47TUN40300,1,NE,true
BPA2075644,7-1-2019 11:55,KO07,FL13UMN92207,1,KO,true
GIQ5227984,7-1-2019 12:10,NE02,AT19HLV57173,2,OO,false
QMM0347109,7-1-2019 12:11,OO12,BI87HYL81972,2.5,MR,false
NBS8149331,7-1-2019 12:23,OO10,QX75YWC61835,2.5,OO,true
WXO4856567,7-1-2019 14:15,EG10,EV77EDV52985,1.25,NE,false
DSB0448624,7-1-2019 15:22,GF00,UF84JOS00561,2.8,GF,true
REY3108814,7-1-2019 15:38,NE16,IA29IQS63679,1,NE,true
LAO6168976,7-1-2019 15:53,OO05,DP11ENT03275,1,AO,false
UQR3278904,7-1-2019 16:05,AO13,EV77EDV52985,2.8,NE,false
DPZ9842551,7-1-2019 16:28,NE13,EG95RTB75032,2.8,NE,true
HCX4122632,7-1-2019 18:13,AO04,PE73VJU23485,2.8,AO,true
ARH1581655,7-1-2019 18:27,KO01,WY00MLL63827,1,KO,true
HTD0281631,7-1-2019 19:53,AO08,RK48BOP88344,2.8,OO,false
IWR8131559,7-1-2019 20:03,OO05,RK48BOP88344,2.8,OO,true
XQT9913725,7-1-2019 21:39,AO12,LG64ARC91224,13,AO,true
FDG4220162,7-1-2019 22:40,EG10,CM15YCB60994,2,EG,true
SYA7107074,7-1-2019 23:04,EG07,CR31GMR97972,1.5,EG,true
EGU0149427,7-1-2019 23:39,NE00,OY94SZK34436,2.5,NE,true
OXK0045085,7-1-2019 23:40,KO03,KB55KTM48860,2.5,KO,true
UTD5120164,8-1-2019 00:24,OO04,AT19HLV57173,2.8,OO,true
UBP7692482,8-1-2019 01:47,OO07,TV81MAQ99005,3.1,EG,false
YQF2255735,8-1-2019 01:55,GF00,QN12NTR81378,2.8,GF,true
TBW5744223,8-1-2019 03:13,MR06,QO68DIC93032,2.5,MR,true
OFS6376591,8-1-2019 03:18,EG02,RK48BOP88344,2.5,OO,false
FAE2281094,8-1-2019 05:38,OO04,SY96JDQ97089,2,AO,false
IIM9785176,8-1-2019 05:52,NE07,UP28MBM38391,1,NE,true
PHE1025027,8-1-2019 06:22,MR07,KF48RSD79865,2.8,MR,true
INQ8456777,8-1-2019 07:47,AO17,JD78PQD35395,2.8,EG,false
DUR6384757,8-1-2019 08:11,AO01,BM25PHF40639,13,AO,true
OZT5115958,8-1-2019 08:12,GF00,JE65QJK64802,2.8,GF,true
LMA8654820,8-1-2019 09:59,AO04,EC02LZC49528,2.8,EG,false
XTE9166677,8-1-2019 11:22,NE00,FY47TUN40300,1,NE,true
PPU9152797,8-1-2019 13:04,AO13,FL13UMN92207,2.8,KO,false
BRN7360799,8-1-2019 13:15,NE09,IA29IQS63679,1,NE,true
OLV1623583,8-1-2019 14:08,OO03,LC72NRN52084,3.1,OO,true
XVJ7652867,8-1-2019 14:18,GF00,CP56DAO45598,2.8,GF,true
UVE2297410,8-1-2019 15:42,EG02,BI87HYL81972,1,MR,false
LZP3584479,8-1-2019 15:52,NE13,QR03XCJ37459,1.5,OO,false
COH4374136,8-1-2019 15:53,NE01,PD45WOT56494,2,NE,true
EZI7123567,8-1-2019 16:14,MR04,LM86GYO69819,2.2,GF,false
HSO9832566,8-1-2019 16:25,AO08,LG64ARC91224,13,AO,true
GWX5926658,8-1-2019 17:14,GF00,PF04UCA93312,3.1,GF,true
PGX6872041,8-1-2019 17:34,EG01,JD78PQD35395,1,EG,true
EWR8013818,8-1-2019 17:52,NE08,ZY93PCY41868,1.25,KO,false
AJJ7574694,8-1-2019 18:02,OO02,HE38BQH01623,1.5,MR,false
BAM0767909,8-1-2019 18:49,AO09,BM25PHF40639,13,AO,true
ZTV2947809,8-1-2019 18:51,AO05,DP11ENT03275,3.1,AO,true
MDB4040741,8-1-2019 19:31,OO00,PD45WOT56494,1.5,NE,false
CSG3318300,8-1-2019 21:22,MR03,IZ65WAT29135,2,MR,true
NHM3675844,8-1-2019 21:30,NE05,QO68DIC93032,3.1,MR,false
DPB6551839,8-1-2019 21:42,KO02,KB55KTM48860,2.5,KO,true
YZI2644272,8-1-2019 22:06,KO06,WY00MLL63827,1,KO,true
DZH0114567,8-1-2019 23:17,AO06,OC94ASJ72024,1,AO,true
WJX5646477,9-1-2019 00:43,EG02,EC02LZC49528,2.8,EG,true
GTQ0716183,9-1-2019 00:52,GF00,PF04UCA93312,3.1,GF,true
DIM4006595,9-1-2019 01:58,OO02,IC95TLY24827,2,OO,true
FMX7447301,9-1-2019 02:01,KO08,ED51EWW52190,2.8,KO,true
CCT1120986,9-1-2019 02:12,KO09,ED51EWW52190,2.8,KO,true
UBU3174102,9-1-2019 03:38,OO01,IC95TLY24827,2,OO,true
PEJ6840364,9-1-2019 04:16,AO06,PE73VJU23485,2.8,AO,true
POM1873220,9-1-2019 04:31,EG08,XE59BZM26378,2.5,EG,true
UNO6659001,9-1-2019 05:10,GF00,PF04UCA93312,3.1,GF,true
JIK3844618,9-1-2019 06:34,EG02,EC02LZC49528,2.8,EG,true
KLN6484024,9-1-2019 07:14,KO01,QO77TFN61853,2.2,KO,true
ZHC1977550,9-1-2019 07:37,GF00,PF04UCA93312,3.1,GF,true
FKV7904848,9-1-2019 07:52,EG05,JD78PQD35395,1,EG,true
NFI8367808,9-1-2019 07:57,KO00,IX01MVL33676,2.5,KO,true
LFH0315629,9-1-2019 08:05,GF00,WU78BMX13511,1,GF,true
XKS4664614,9-1-2019 08:19,NE07,VX68BAR38623,1.5,NE,true
UMF7695471,9-1-2019 08:36,EG04,CM15YCB60994,2,EG,true
SJT4290133,9-1-2019 08:45,KO05,QW79CHL42244,2.8,KO,true
ZQV5105168,9-1-2019 09:47,GF00,MA30QLI76818,2.5,GF,true
WIU6615713,9-1-2019 09:48,NE11,XF28DGK65250,1,GF,false
FBN9889844,9-1-2019 09:59,KO08,QO77TFN61853,2.2,KO,true
FBN6685344,9-1-2019 10:39,GF00,CK97FAU13897,2.5,GF,true
DBF9508600,9-1-2019 11:20,NE07,WY00MLL63827,2,KO,false
YYN5607187,9-1-2019 13:44,MR02,UA13YTK28483,2.8,MR,true
KJW8914761,9-1-2019 13:49,MR07,EZ65FLV39493,2.8,MR,true
HKH2373332,9-1-2019 15:03,OO06,AT19HLV57173,2.8,OO,true
BYG4248451,9-1-2019 15:41,OO01,JF94VYA88954,2.8,OO,true
FNP4393498,9-1-2019 20:59,MR06,EC02LZC49528,2.5,EG,false
JKT6128724,9-1-2019 21:17,EG12,QU94IGC75528,1.25,EG,true
EGL5422048,9-1-2019 22:18,OO13,IC95TLY24827,2,OO,true
LRM3194355,9-1-2019 22:30,EG10,EC02LZC49528,2.8,EG,true
ORT5368959,9-1-2019 22:42,OO13,YX66XYW62640,2.5,GF,false
CZL7820317,9-1-2019 23:32,OO09,QR03XCJ37459,2.8,OO,true
HZU4853745,9-1-2019 23:33,MR00,UA13YTK28483,2.8,MR,true
CYJ1240238,10-1-2019 00:17,EG00,DW44ZOO26361,2.5,EG,true
FOM5485924,10-1-2019 03:24,KO07,KB55KTM48860,2.5,KO,true
FHO5663132,10-1-2019 04:51,OO01,AT19HLV57173,2.8,OO,true
OMN5141808,10-1-2019 05:42,OO06,RK48BOP88344,2.8,OO,true
YMO5978142,10-1-2019 06:12,MR08,KF48RSD79865,2.8,MR,true
QJP5702056,10-1-2019 06:24,KO01,KB55KTM48860,2.5,KO,true
TOH4508765,10-1-2019 06:28,AO19,CR31GMR97972,2.8,EG,false
VNK5211146,10-1-2019 07:06,EG01,TE24LCO18661,1.25,EG,true
RNX5573794,10-1-2019 09:47,AO08,QW79CHL42244,2.8,KO,false
VXO5341372,10-1-2019 09:57,NE00,NY14GZR94632,2.8,NE,true
RCB0419705,10-1-2019 10:50,AO02,BZ76ROL87339,2.8,AO,true
XFL2376961,10-1-2019 11:31,NE03,RR73DWB65452,2.8,AO,false
NDO5553932,10-1-2019 13:16,EG06,EC02LZC49528,2.8,EG,true
XXG1012689,10-1-2019 14:13,KO04,KB55KTM48860,2.5,KO,true
BUE8856354,10-1-2019 14:38,MR03,KF48RSD79865,2.8,MR,true
HOM4753925,10-1-2019 15:28,KO01,ED51EWW52190,2.8,KO,true
SEK9690966,10-1-2019 17:38,GF00,WU78BMX13511,1,GF,true
PBQ8194472,10-1-2019 18:06,KO00,MQ65WJJ60020,1.25,KO,true
RSL4446153,10-1-2019 18:22,OO01,AT19HLV57173,2.8,OO,true
ZLJ6963762,10-1-2019 20:52,KO02,MQ65WJJ60020,1.25,KO,true
RWG6921523,10-1-2019 20:58,AO10,LG64ARC91224,13,AO,true
ODH4025527,10-1-2019 21:25,EG12,QU94IGC75528,1.25,EG,true
LRO6012832,10-1-2019 22:33,MR07,MX39VOS38645,1.5,AO,false
OWN2040268,10-1-2019 22:51,AO10,BZ76ROL87339,1,AO,true
INB9199595,11-1-2019 00:02,NE03,PM58XHX45588,1.5,NE,true
EVM7404972,11-1-2019 00:03,AO09,OC94ASJ72024,1,AO,true
TVQ0671376,11-1-2019 00:55,KO05,IX01MVL33676,2.5,KO,true
LFV5670084,11-1-2019 01:15,MR06,KF48RSD79865,2.8,MR,true
RFX1371677,11-1-2019 01:41,OO03,WG11QVY31890,1,OO,true
UTL3484031,11-1-2019 02:11,GF00,WU78BMX13511,1,GF,true
NXL2041620,11-1-2019 02:30,MR03,QO68DIC93032,2.5,MR,true
ZNJ1049151,11-1-2019 02:37,MR04,IZ65WAT29135,1.25,MR,true
WOX8452591,11-1-2019 02:42,AO18,SY96JDQ97089,1.5,AO,true
CDB3019504,11-1-2019 02:47,MR01,MX39VOS38645,1,AO,false
KVZ2606955,11-1-2019 03:04,NE00,PM58XHX45588,1.5,NE,true
GYR4605539,11-1-2019 03:33,EG01,QU94IGC75528,1.25,EG,true
LQE3984015,11-1-2019 03:35,OO05,XV40HUQ04740,1,OO,true
KHP0306935,11-1-2019 04:09,NE07,FY47TUN40300,1,NE,true
PTS5311062,11-1-2019 05:36,OO06,RK48BOP88344,2.8,OO,true
FUI7993951,11-1-2019 06:09,KO02,IX01MVL33676,2.5,KO,true
FFQ7677778,11-1-2019 06:17,EG03,NZ35XLQ89678,3.1,NE,false
OBK1343175,11-1-2019 06:21,NE12,EG95RTB75032,2.8,NE,true
VPC7691320,11-1-2019 06:41,GF00,QN12NTR81378,2.8,GF,true
KRB0046906,11-1-2019 07:00,MR08,KF48RSD79865,2.8,MR,true
CFH4027363,11-1-2019 07:24,MR05,DV04FQL29609,1,AO,false
KYL4062666,11-1-2019 07:40,NE01,UP28MBM38391,1,NE,true
FRY5107918,11-1-2019 08:32,MR08,IZ65WAT29135,2,MR,true
KHF6369943,11-1-2019 08:37,EG07,TV81MAQ99005,2.8,EG,true
OHA0886547,11-1-2019 08:42,OO03,EE22TMX10817,2,OO,true
FAN1603090,11-1-2019 09:10,GF00,CP56DAO45598,2.8,GF,true
MAE2734230,11-1-2019 09:21,GF00,UF84JOS00561,2.8,GF,true
VAP1319169,11-1-2019 09:44,KO08,IX01MVL33676,2.5,KO,true
HEQ9650767,11-1-2019 11:18,OO06,QR03XCJ37459,2.8,OO,true
JYK8853857,11-1-2019 12:54,AO13,VX68BAR38623,2.8,NE,false
AYH1207558,11-1-2019 13:40,AO00,DV04FQL29609,3.1,AO,true
CLW1884630,11-1-2019 13:58,GF00,PF04UCA93312,3.1,GF,true
NBJ7274983,11-1-2019 14:22,AO10,YH66OKD41942,2.8,KO,false
NAY5893770,11-1-2019 15:08,NE04,JV67MTI17124,2.5,NE,true
MID9503142,11-1-2019 16:05,NE13,EG95RTB75032,2.8,NE,true
CXP3169780,11-1-2019 16:34,GF00,BY85QGR11636,2.5,GF,true
SGD5418817,11-1-2019 17:14,EG06,TZ48CCW54765,3.1,EG,true
MBM8077350,11-1-2019 17:24,KO07,KB55KTM48860,2.5,KO,true
GBN7975968,11-1-2019 18:16,KO09,IX01MVL33676,2.5,KO,true
CLL1393211,11-1-2019 21:16,NE11,UP28MBM38391,1,NE,true
VRE3149856,11-1-2019 21:59,AO03,DV04FQL29609,3.1,AO,true
OXV6474062,11-1-2019 22:45,KO03,ED51EWW52190,2.8,KO,true
ITM6027560,11-1-2019 23:07,MR07,EZ65FLV39493,2.8,MR,true
SNL6848703,11-1-2019 23:25,GF00,BY85QGR11636,2.5,GF,true
WIE3219672,12-1-2019 00:48,GF00,UF84JOS00561,2.8,GF,true
CGW0740748,12-1-2019 01:03,OO02,QX75YWC61835,2.5,OO,true
GLR4345977,12-1-2019 01:24,MR00,QO68DIC93032,2.5,MR,true
JQH3889391,12-1-2019 02:25,EG09,CM15YCB60994,2,EG,true
FMV8753724,12-1-2019 03:02,AO17,LG64ARC91224,13,AO,true
NWU2289217,12-1-2019 04:55,AO05,BM25PHF40639,13,AO,true
